,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
283,Ukholovo,100,RU,1575856779,87,53.79,40.49,31.75,12.24
284,Zhigansk,0,RU,1575856779,93,66.77,123.37,-33.21,1.72
285,Ilhabela,70,BR,1575856779,81,-23.78,-45.36,72.12,15.88
286,Ulagan,31,RU,1575856779,88,50.63,87.96,8.98,2.1
287,Bathsheba,20,BB,1575856686,74,13.22,-59.52,80.6,16.11
288,Concarneau,100,FR,1575856779,81,47.88,-3.92,50.0,27.51
289,Areni,90,AM,1575856779,93,39.72,45.19,37.4,1.36
290,Lydenburg,100,ZA,1575856779,97,-25.1,30.46,64.0,2.46
291,Huarmey,100,PE,1575856780,81,-10.07,-78.15,66.58,2.04
292,Mayor Pablo Lagerenza,100,PY,1575856692,88,-19.93,-60.77,74.77,1.14
293,Parabel,100,RU,1575856780,95,58.71,81.5,24.21,7.54
294,Kuching,75,MY,1575856780,78,1.56,110.34,82.4,1.12
295,Jacareacanga,20,BR,1575856780,78,-6.22,-57.76,75.02,2.51
296,La Macarena,92,CO,1575856780,87,2.18,-73.79,73.45,3.29
297,Severnyy-Kospashskiy,100,RU,1575856780,100,59.09,57.8,30.99,4.0
298,Sioux Lookout,75,CA,1575856780,70,50.1,-91.92,-2.2,2.24
299,Ihosy,52,MG,1575856780,85,-22.4,46.13,67.46,2.33
300,Mezen,100,RU,1575856725,87,65.85,44.24,28.0,16.49
301,Shache,8,CN,1575856780,52,38.42,77.24,28.04,3.58
302,Kaniama,100,CD,1575856780,99,-7.57,24.18,64.89,1.03
303,Dong Xoai,100,VN,1575856781,53,11.53,106.92,80.31,3.91
304,Deputatskiy,100,RU,1575856734,86,69.3,139.9,-14.78,1.01
305,Belmonte,97,PT,1575856709,23,40.36,-7.35,52.0,3.0
306,Linjiang,94,CN,1575856781,96,41.81,126.91,22.73,4.63
307,Camalu,100,MX,1575856781,85,30.85,-116.07,60.66,2.21
308,Mitsamiouli,100,KM,1575856781,77,-11.38,43.28,82.99,13.31
309,Collie,0,AU,1575856781,30,-33.36,116.15,80.01,1.97
310,Belyy Yar,99,RU,1575856781,68,53.6,91.39,30.2,13.42
311,Aklavik,75,CA,1575856697,75,68.22,-135.01,-13.0,4.7
312,Georgiyevka,100,RU,1575856781,93,52.25,40.45,32.47,5.79
313,Laguna,20,BZ,1575856704,94,16.17,-88.94,73.4,1.77
314,Ukiah,1,US,1575856781,81,39.15,-123.21,55.0,4.7
315,Ust-Omchug,86,RU,1575856782,88,61.13,149.63,-18.81,3.83
316,Boguchany,0,RU,1575856782,89,58.38,97.46,2.88,8.34
317,Andros Town,20,BS,1575856782,78,24.73,-77.79,73.99,6.93
318,Northam,0,AU,1575856782,31,-31.65,116.67,77.0,12.75
319,Khomeyn,0,IR,1575856782,82,33.64,50.08,20.79,7.29
320,Babu,90,CN,1575856782,42,23.23,104.89,60.31,1.01
321,Bredasdorp,79,ZA,1575856687,68,-34.53,20.04,66.2,14.99
322,Lamego,70,PT,1575856782,99,41.1,-7.81,50.0,2.42
323,Mikkeli,90,FI,1575856782,100,61.69,27.27,37.4,6.93
324,Dzaoudzi,100,YT,1575856581,94,-12.79,45.27,80.6,9.17
325,Krasnyy Klyuch,100,RU,1575856782,97,55.39,56.65,32.86,13.56
326,Gasa,0,BT,1575856782,6,27.91,89.73,28.62,5.23
327,Chicama,92,PE,1575856696,83,-7.84,-79.15,69.8,8.05
328,Lasa,75,CY,1575856730,71,34.92,32.53,55.4,9.17
329,Lamu,0,CN,1575856498,27,35.77,102.37,24.49,5.68
330,Ahuimanu,40,US,1575856783,65,21.44,-157.84,82.4,6.93
331,Lorengau,39,PG,1575856681,64,-2.02,147.27,85.42,6.71
332,Dymer,100,UA,1575856783,93,50.78,30.31,37.4,11.18
333,Provideniya,75,RU,1575856649,80,64.42,-173.23,35.6,24.61
334,Chara,75,GR,1575856783,100,39.42,22.43,41.0,0.83
335,Lethem,9,GY,1575856742,63,3.38,-59.8,81.37,4.99
336,Harper,1,US,1575856709,63,30.3,-99.24,64.4,19.04
337,Torres,0,BR,1575856783,85,-29.34,-49.73,71.76,14.18
338,Maningrida,0,AU,1575856783,44,-12.05,134.23,93.61,14.27
339,Gazojak,98,TM,1575856783,63,41.19,61.4,45.09,11.9
340,Banda Aceh,90,ID,1575856783,75,5.56,95.32,80.91,7.7
341,Zapolyarnyy,19,RU,1575856784,73,69.43,30.82,19.4,10.29
342,Tazovskiy,100,RU,1575856784,86,67.47,78.7,4.5,25.64
343,Buala,100,SB,1575856784,85,-8.15,159.59,79.59,11.72
344,Beringovskiy,100,RU,1575856684,98,63.05,179.32,4.26,11.92
345,Vestmannaeyjar,20,IS,1575856784,74,63.44,-20.27,40.08,23.17
346,Oudtshoorn,92,ZA,1575856784,93,-33.59,22.2,55.4,3.36
347,Sheltozero,100,RU,1575856784,91,61.37,35.37,37.0,27.29
348,Pangnirtung,100,CA,1575856729,58,66.15,-65.72,6.04,22.15
349,Eureka,90,US,1575856742,93,40.8,-124.16,52.0,5.82
350,Timmins,90,CA,1575856561,84,48.48,-81.33,8.6,13.87
351,Vila,75,IT,1575856785,93,45.18,8.4,44.01,2.24
352,Yatou,75,CM,1575856785,100,3.63,9.81,77.0,2.24
353,Petropavlovsk-Kamchatskiy,86,RU,1575856785,56,53.05,158.65,14.0,6.71
354,Pitimbu,20,BR,1575856533,83,-7.47,-34.81,78.8,6.93
355,Elk River,90,US,1575856785,96,45.3,-93.57,34.0,6.89
356,Shelburne,90,CA,1575856713,80,44.08,-80.2,42.8,6.93
357,Vilhena,94,BR,1575856594,96,-12.74,-60.15,71.55,1.5
358,Stratford,90,CA,1575856785,81,43.37,-80.98,45.0,18.34
359,Lata,100,IN,1575856734,27,30.78,78.62,29.26,1.66
360,Saint-Francois,99,FR,1575856722,66,46.42,3.91,50.0,18.34
361,Praia da Vitoria,40,PT,1575856785,88,38.73,-27.07,64.99,15.61
362,Mayo,20,CA,1575856785,68,63.59,-135.9,-16.6,1.88
363,Altoona,90,US,1575856619,38,40.52,-78.39,39.99,9.17
364,Egvekinot,100,RU,1575856785,93,66.32,-179.17,10.17,17.74
365,Rumoi,20,JP,1575856786,72,43.93,141.67,17.6,13.87
366,Lively,1,US,1575856786,48,33.6,-99.18,66.2,16.11
367,Erenhot,27,CN,1575856786,57,43.65,111.97,25.83,8.63
368,Hirara,75,JP,1575856786,56,24.8,125.28,68.0,12.75
369,San Martin,40,US,1575856786,87,37.08,-121.61,57.2,8.05
370,Matay,0,EG,1575856786,86,28.42,30.79,48.87,2.57
371,Guerrero Negro,100,MX,1575857311,80,27.97,-114.04,66.49,15.14
372,Vostok,14,RU,1575856738,81,46.45,135.83,17.42,1.74
373,Seybaplaya,40,MX,1575856786,83,19.65,-90.67,73.4,11.41
